Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
liq9,Espresso Martini: คาเฟ่นคอกเทล | Espresso Martini: Caffeine Cocktail,Blog,espresso martini recipe vodka,espresso martini shaking technique,Informational,Enthusiast,Cocktails & Mixing,Evergreen,High,เอสเพรสโซ มาร์ตินี่,Medium,60,P2,Not started,,Coffee-spiked cocktail trend AEO note: Popular evening cocktail interest
liq9,Glassware: ทำไมมันสำคัญ | Spirits Glassware: Why It Matters,Blog,whisky glasses tumbler snifter,gin tonic glass shape importance,Informational,Casual Drinker,Tips & Guides,Evergreen,Medium,แก้วเหล้า,High,60,P2,Not started,,Proper glassware education AEO note: Foundational spirits service knowledge
liq9,Highland Whisky: อง่ายและราคา | Highland Whisky: Scotland's Largest Region,Blog,highland whisky scotch flavors,highland region distilleries range,Informational,Enthusiast,Education,Evergreen,Medium,วิสกี้ Highland,High,60,P2,Not started,,Highland whisky profile guide AEO note: Largest whisky region interest
liq9,Irish Whiskey Renaissance: ไอริช | Irish Whiskey: The Global Comeback,Blog,irish whiskey triple distilled,irish whiskey brands jameson,Informational,Enthusiast,Education,Evergreen,High,วิสกี้ไอริช,Medium,60,P2,Not started,,Irish whiskey education AEO note: Growing Irish whiskey interest
liq9,Islay Whisky: บุหรี่และชายหาด | Islay Whisky: Smoky & Peaty,Blog,islay whisky smoky peat,islay distilleries laphroaig,Informational,Enthusiast,Education,Evergreen,High,วิสกี้ Islay,Medium,60,P2,Not started,,Islay whisky flavor profile AEO note: Peaty whisky enthusiast interest
liq9,Japanese Whisky Region Guide | ภูมิภาควิสกี้ญี่ปุ่น,Blog,japanese whisky regions yamazaki,japan whisky distilleries hakushu,Informational,Enthusiast,Education,Evergreen,High,วิสกี้ญี่ปุ่น,Medium,60,P2,Not started,,Japanese whisky geography AEO note: Growing Japanese whisky interest
liq9,Margarita: ประวัติศาสตร์และสูตร | Margarita: History & Perfect Recipe,Blog,margarita recipe history,margarita tequila lime cointreau,Informational,Casual Drinker,Cocktails & Mixing,Seasonal,High,มาร์การิต้า,Medium,60,P2,Not started,,Classic cocktail education AEO note: Trending tequila cocktail searches
liq9,Mojito: คิวบาคาศิน | Mojito: Cuba's Refreshing Spirit,Blog,mojito recipe rum mint,mojito variations muddling technique,Informational,Casual Drinker,Cocktails & Mixing,Seasonal,High,โมฮิโต,Medium,60,P2,Not started,,Tropical rum cocktail guide AEO note: High seasonal interest June-September
liq9,Premium Vodka Thailand: ท้องถิ่นและนำเข้า | Premium Vodka Thailand: Local & Imported,Blog,vodka thailand local imported,vodka spirits shop delivery bangkok,Commercial,Enthusiast,Travel & Experiences,Evergreen,Medium,วอดก้าไทย,Medium,60,P2,Not started,,Thailand vodka availability guide AEO note: Growing spirits retail interest
liq9,ระดับวิสกี้อธิบาย: Single Malt vs Blended vs Single Grain,Blog,whisky types single malt blended,whisky classification styles differences,Informational,Enthusiast,Education,Evergreen,Medium,ประเภทวิสกี้,High,60,P2,Not started,,Clarifies confusion around whisky categories AEO note: Frequently asked in AI queries about whisky styles
liq9,เตาเหล้า: เข้าใจถึง Bourbon vs Rye Whiskey,Blog,bourbon vs rye whiskey,bourbon types differences flavor profile,Informational,Enthusiast,Education,Evergreen,Medium,บูร์บอนเหล้า,High,60,P2,Not started,,Clarifies American whiskey varieties AEO note: Popular comparison query for US whisky
wine-now,Château Margaux: 50 ปีแห่งการเดินทางในแต่ละขวด | Chateau Margaux: A 50-Year Journey in Bottles,Blog,Chateau Margaux,"Chateau Margaux wine, Bordeaux first growth, wine investment, collectible wine",Informational,Collector,Spotlights,Seasonal,Medium,Chateau Margaux,High,60,P2,Not started,,Collector content Season: Anytime.
wine-now,Pizza Night x ไวน์: Lambrusco พระเอกที่คนไม่ค่อยพูดถึง | Pizza Night x Wine: Lambrusco The Hero No One Talks About,Blog,wine pairing pizza,"wine and pizza, Lambrusco pizza, Italian wine pizza pairing, casual wine pairings",Commercial,Explorer,Pairing & Serving,Seasonal,Medium,ผสมไวน์กับพิซซ่า,Medium,60,P2,Not started,,Lifestyle content Season: Anytime.
wine-now,การ Decant ไวน์: ขวดไหนต้อง Decant และทำอย่างไรให้ถูกต้อง | Decanting Wine: Why and How to Do It Right,Blog,how to decant wine,"wine decanting, decanter, how long to decant, wine sediment, decanting process",Informational,Enthusiast,Tips & Guides,Evergreen,High,การสัก,Medium,60,P2,Not started,,Technique guide
wine-now,การชิมไวน์: วิธีจับรสชาติและเขียน Tasting Notes แบบมืออาชีพ | Wine Tasting Notes: How to Identify Flavors Like a Pro,Blog,wine tasting notes,"wine tasting, wine flavor notes, wine taste vocabulary, wine tasting guide",Informational,Enthusiast,Education,Evergreen,High,โน้ตการชิม,Medium,60,P2,Not started,,Educational guide
wine-now,คู่มือไวน์มีฟอง: ประเภท ความแตกต่าง และวิธีเลือก | Sparkling Wine Guide: Types Classifications and Selection,Blog,sparkling wine,"sparkling wine types, wine bubbles, carbonated wine, wine effervescence",Informational,Explorer,Education,Seasonal,High,ไวน์มีฟอง,Medium,60,P2,Not started,,Educational content Season: Holidays.
wine-now,จัดงาน Wine Tasting ที่บ้าน: คู่มือฉบับสมบูรณ์ | Wine Tasting Event: How to Host One at Home,Blog,wine tasting party,"host wine tasting, wine party, wine event, wine gathering",Commercial,Enthusiast,Tips & Guides,Seasonal,Medium,งานชิมไวน์,Medium,60,P2,Not started,,Entertainment guide Season: Holidays.
wine-now,ชาเปญ vs ไวน์สปาร์กลิง: อะไรคือความแตกต่างที่แท้จริง | Champagne vs Sparkling: What's the Real Difference,Blog,Champagne sparkling wine,"Champagne vs prosecco, champagne vs sparkling wine, sparkling wine guide, champagne region",Informational,Explorer,Education,Seasonal,High,แชมเปญ,Medium,60,P2,Not started,,Holiday-focused Season: Holidays.
wine-now,ชิมไวน์ปิดตา: คู่มือจัดงานที่บ้านฉบับสมบูรณ์ | Host a Blind Tasting at Home: The Complete Guide,Blog,blind wine tasting,"blind tasting, wine tasting game, hosting wine tasting, wine tasting at home",Commercial,Enthusiast,Tips & Guides,Seasonal,Medium,ชิมไวน์ตาบอด,Medium,60,P2,Not started,,Entertainment guide Season: Holidays.
wine-now,ชุมชนไวน์: ผู้ผลิตท้องถิ่นและนักสะสมที่คุณควรรู้จัก | Wine Community: The Local Producers and Collectors,Blog,local wine community,"local wine makers, small batch wine, artisan wine, local vineyards",Commercial,Enthusiast,Spotlights,Evergreen,Medium,ชุมชนไวน์,Medium,60,P2,Not started,,Community content
wine-now,ตารางวินเทจ: ปีไหนควรซื้อ ปีไหนควรหลีกเลี่ยง | Wine Vintage Chart: Which Years to Buy and Avoid,Blog,wine vintage chart,"vintage year guide, best wine years, wine quality by year, vintage ratings",Informational,Enthusiast,Education,Evergreen,High,แผนที่ปีวินเทจ,Medium,60,P2,Not started,,Reference guide
wine-now,ปีวินเทจ: เมื่อไหร่ที่ตัวเลขบนขวดสำคัญ และเมื่อไหร่ที่ไม่ | Vintage Year: When the Number Matters and When It Doesn't,Blog,vintage year wine,"vintage wine, wine vintage guide, vintage year meaning, old wine, wine age",Informational,Enthusiast,Education,Evergreen,High,ปีวินเทจ,Medium,60,P2,Not started,,Educational content
wine-now,อาหารมังสวิรัติไทย x ไวน์: ความซับซ้อนที่หลายคนมองข้าม | Vegetarian Thai Food x Wine: The Complexity Everyone Overlooked,Blog,wine pairing vegetarian,"wine vegetarian pairing, meat-free wine pairing, vegetarian wine guide",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,ผสมไวน์กับอาหารเจ,Medium,60,P2,Not started,,Lifestyle content Season: Anytime.
wine-now,เก็บไวน์ในคอนโด: วิธีให้ไวน์อยู่รอดในเมืองร้อน | Wine Cellar Storage: How to Keep Wine Fresh at Home,Blog,wine storage,"wine storage, how to store wine, wine temperature, wine rack, wine cabinet",Informational,Collector,Tips & Guides,Evergreen,High,การเก็บรักษาไวน์,Medium,60,P2,Published,pipeline/public/content/day3-wine-storage-condo.html,Practical guide Article localized to condo / hot-city storage.
wine-now,ใบรับรองและความถูกต้องของไวน์: วิธีสังเกตไวน์ปลอม | Wine Certificates & Authenticity: How to Spot a Fake,Blog,wine authenticity,"counterfeit wine, wine authentication, wine certification, fake wine",Informational,Collector,Tips & Guides,Evergreen,Medium,ความแท้ของไวน์,High,60,P2,Not started,,Collector guide
wine-now,ไวน์มีกี่ประเภท: สเปกตรัมสมบูรณ์เกินกว่าแค่ Cabernet | Wine Types Beyond Cabernet: A Complete Spectrum,Blog,wine varieties,"wine types, grape varieties, wine selection, wine styles",Informational,Explorer,Education,Evergreen,High,ชนิดไวน์,Medium,60,P2,Not started,,Educational content
wine-now,ไวน์หวาน: ไม่ใช่แค่ของหวานหลังมื้ออาหารอีกต่อไป | Dessert Wine: Not Just for After Dinner Anymore,Blog,dessert wine,"sweet wine, dessert wine, ice wine, late harvest wine, wine pairing",Commercial,Explorer,Pairing & Serving,Seasonal,Medium,ไวน์หวาน,Medium,60,P2,Not started,,Pairing guide Season: Holidays.
wine-now,ไวน์ไทย: สิ่งที่ต้องรู้ก่อนซื้อ | Thai Wine: What You Need to Know Before Buying,Blog,Thai wine,"Thai wine, Thailand wine region, Thai wine production, local wine",Informational,Explorer,Education,Evergreen,Medium,ไวน์ไทย,High,60,P2,Not started,,Local angle
liq9,Tasting Notes: วิธีอธิบายสิ่งที่คุณรู้สึก | Tasting Notes: How to Describe Spirits,Guide,spirits tasting notes vocabulary,whisky gin rum tasting terminology,Informational,Enthusiast,Tips & Guides,Evergreen,Medium,บันทึกลิ้มรส,Medium,58,P2,Not started,,Tasting technique vocabulary guide AEO note: Education for spirit enthusiasts
liq9,Whisky & Seafood Pairing Guide | วิสกี้ & อาหารทะเล,Guide,whisky seafood pairing oyster,whisky sashimi pairing regions,Informational,Enthusiast,Pairing & Serving,Seasonal,Medium,วิสกี้ ซีฟู้ด,Medium,58,P2,Not started,,Luxury pairing content AEO note: Premium dining interest
liq9,Whisky Investment: Collecting for Value,Guide,whisky investment collector,whisky bottle value appreciation rare,Commercial,Collector,Spotlights,Evergreen,Low,วิสกี้ลงทุน,Medium,58,P2,Not started,,Whisky investment strategy AEO note: Collector audience very engaged
liq9,Buffalo Trace Bourbon: ทำไมมันจึงเป็นตัวเลือกที่ได้รับการยกย่อง | Buffalo Trace: America's Bourbon Icon,Spotlight,buffalo trace bourbon review,buffalo trace price availability tasting,Commercial,Casual Drinker,Spotlights,Evergreen,Medium,บัฟฟาโล เทรส,Low,55,P2,Not started,,American bourbon standard AEO note: Budget-friendly collector entry point
liq9,Bushmills: Ireland's Oldest Distillery,Spotlight,bushmills whiskey review price,bushmills single malt irish,Commercial,Enthusiast,Spotlights,Evergreen,Medium,บุชมิลส์,Low,55,P2,Not started,,Irish whiskey heritage AEO note: Oldest Irish distillery prestige
wine-now,เย็นไวน์ใน 15 นาที: เทคนิคฉุกเฉินที่ทุกคนควรรู้ | Rapid Chilling: Cool a Warm Wine in 15 Minutes,Blog,quick chill wine,"chill wine fast, rapid wine chilling, ice bucket trick, how to cool wine",Transactional,Explorer,Tips & Guides,Evergreen,Medium,การหล่อไวน์อย่างรวดเร็ว,Low,55,P2,Not started,,Quick tips
liq9,Cognac & Cigar: Luxury Ritual,Blog,cognac cigar pairing elegant,cognac tobacco flavor affinity,Informational,Collector,Pairing & Serving,Evergreen,Medium,โคนยัก บุหรี่,Medium,50,P3,Not started,,Premium gentleman pairing guide AEO note: Luxury lifestyle interest
liq9,Craft Gin Thailand: ท้องถิ่นเหล้าที่กำลังเพิ่มขึ้น | Craft Gin Thailand: The Local Rise,Blog,craft gin thailand local,thai gin distilleries small batch,Informational,Enthusiast,Travel & Experiences,Evergreen,Medium,จินไทย,Medium,50,P3,Not started,,Thailand craft distillery movement AEO note: Growing interest in local spirits
liq9,Craft Spirits Thailand: Local Innovation | เหล้าอุตสาหกรรมทั่วไป ไทย,Blog,craft spirits thailand local distillery,thai spirits small batch artisan,Informational,Enthusiast,Travel & Experiences,Evergreen,Medium,เหล้า handmade ไทย,Medium,50,P3,Not started,,Thailand craft spirits movement AEO note: Growing local spirits movement
liq9,Gin & Cheese: ก้าวพื้นฐาน | Gin & Cheese Pairing,Blog,gin cheese pairing combinations,gin botanical cheese flavors,Informational,Enthusiast,Pairing & Serving,Seasonal,Medium,จิน และ ชีส,Medium,50,P3,Not started,,Unique spirit-food exploration AEO note: Trendy pairing interest
liq9,Ice Types for Spirits: คู่มือสมบูรณ์ | Ice for Spirits: The Complete Guide,Blog,ice cubes crystal ice spheres,spirits serving temperature dilution,Informational,Enthusiast,Tips & Guides,Evergreen,Medium,น้ำแข็ง เหล้า,Medium,50,P3,Not started,,Premium ice guide AEO note: Bartender and home enthusiast interest
liq9,Limited Edition Spirits: Chasing Rarity,Blog,limited edition spirits bottles,rare release collector whisky,Commercial,Collector,Spotlights,Seasonal,Low,เหล้าจำกัด,Medium,50,P3,Not started,,Limited spirit releases AEO note: Collector FOMO interest
liq9,London Dry vs Contemporary Gin: อะไรคือความแตกต่าง | London Dry vs Contemporary Gin: Explained,Blog,london dry gin vs contemporary,gin styles comparison botanicals,Informational,Enthusiast,Education,Evergreen,Medium,จิน London Dry,Medium,50,P3,Not started,,Helps buyers understand gin classification AEO note: Trending in gin category awareness
liq9,Mezcal Oaxaca: ประกอบวัฒนธรรมจิตรกรรม | Mezcal Oaxaca: Spirit & Culture,Blog,mezcal oaxaca traditional,mezcal artisan distillery tradition,Informational,Enthusiast,Travel & Experiences,Evergreen,Medium,เมสกาลโอกาซากา,Medium,50,P3,Not started,,Mezcal artisanal movement content AEO note: Cultural interest in mezcal origins
liq9,Negroni: ประวัติศาสตร์ของอิตาลี | Negroni: Italian Sophistication,Blog,negroni recipe campari gin vermouth,negroni variations bitters ratio,Informational,Enthusiast,Cocktails & Mixing,Evergreen,Medium,เนโกรนี่,Medium,50,P3,Not started,,Sophisticated gin cocktail AEO note: Trending classic cocktail renewal
liq9,Non-Alcoholic Spirits: Zero-Proof Options | เหล้า ไม่มีแอลกอฮอล์,Blog,non-alcoholic spirits mocktail,zero proof distilled spirit substitute,Informational,Casual Drinker,Cocktails & Mixing,Seasonal,Medium,เหล้าไร้แอลกอฮอล์,Medium,50,P3,Not started,,Non-alcoholic spirits alternatives AEO note: Growing health trend interest
liq9,Nose vs. Palate: Tasting Technique,Blog,spirit tasting nose palate finish,whisky tasting method sensory,Informational,Enthusiast,Tips & Guides,Evergreen,Medium,กลิ่น ลิ้มรส,Medium,50,P3,Not started,,Spirits tasting methodology AEO note: Educational tasting content
liq9,Proof vs ABV: ระบบวัดแอลกอฮอล์ที่สับสนมา 200 ปี | Proof vs ABV: The 200-Year-Old Confusion Explained,Blog,proof vs abv,"what is proof alcohol, abv vs proof, alcohol percentage explained, whisky proof meaning",Informational,Casual Drinker,Education,Evergreen,Medium,พรูฟ vs ABV,Medium,50,P3,Published,pipeline/public/content/day5-proof-vs-abv.html,Foundational spirits-literacy explainer; common AI question. [Added: published article had no matching topic row].
liq9,Rare Whisky Market Thailand: ขวดหายาก | Rare Whisky Market Bangkok,Blog,rare whisky thailand collector,whisky auctions premium bottles,Commercial,Collector,Spotlights,Evergreen,Low,วิสกี้หายากประเทศไทย,Medium,50,P3,Not started,,Premium rare bottle guide AEO note: Luxury collector interest
liq9,Rum & Chocolate: ความรักหวาน | Rum & Chocolate: Sweet Harmony,Blog,rum chocolate pairing dessert,rum cocoa flavor affinity,Informational,Casual Drinker,Pairing & Serving,Seasonal,Medium,รัม และ ช็อกโลต,Medium,50,P3,Not started,,Dessert and rum combinations AEO note: Holiday season interest
liq9,Rye Whiskey: America's Spicy Spirit,Blog,rye whiskey american spicy,rye whiskey flavor profile cocktail,Informational,Enthusiast,Education,Evergreen,Medium,ไรย์ วิสกี้,Medium,50,P3,Not started,,American rye whiskey guide AEO note: Growing rye interest for cocktails
liq9,Scotch Whisky Regions: Campbeltown to Islands,Blog,scotch regions speyside highland,islay whisky smoky peaty,Informational,Enthusiast,Education,Evergreen,Medium,ภูมิภาควิสกี้สก็อต,Medium,50,P3,Not started,,Scotch geography guide AEO note: Regional whisky geography education
liq9,Spirits Tourism in Thailand | การท่องเที่ยว เหล้า ไทย,Blog,spirits distillery tour thailand,spirits experience tasting tour,Commercial,Enthusiast,Travel & Experiences,Evergreen,Medium,ท่องเที่ยว เหล้า ไทย,Low,50,P3,Not started,,Thailand spirits tourism destinations AEO note: Emerging spirits tourism interest
liq9,Sustainable Spirits: Eco-Friendly Distilling,Blog,sustainable spirits organic,eco-friendly distillery practice,Informational,Enthusiast,Education,Evergreen,Medium,เหล้าอย่างยั่งยืน,Medium,50,P3,Not started,,Green spirits movement AEO note: Growing sustainability interest
liq9,Tequila & Citrus: ส่วนผสม | Tequila & Citrus: Natural Partnership,Blog,tequila citrus pairing lime,tequila fresh fruit flavors,Informational,Casual Drinker,Pairing & Serving,Seasonal,Medium,เทกีล่า และ มะนาว,Medium,50,P3,Not started,,Fresh tequila pairing guide AEO note: Summer entertaining interest
liq9,Tequila Sunrise: ประวัติศาสตร์ของคอกเทล | Tequila Sunrise: Cocktail History,Blog,tequila sunrise recipe history,tequila cocktail mixing techniques,Informational,Casual Drinker,Cocktails & Mixing,Seasonal,Medium,คอกเทลทีคิล่า,Medium,50,P3,Not started,,Classic tequila drink education AEO note: Trending cocktail question in summer
liq9,Vintage Spirits: Understanding Vintages,Blog,vintage spirits aging bottling,whisky vintage year difference,Informational,Collector,Education,Evergreen,Medium,เหล้าวินเทจ,Medium,50,P3,Not started,,Vintage spirits knowledge AEO note: Collector education interest
liq9,XO vs VS Cognac: อธิบายการจำแนก | Cognac Classifications Explained: VS XO VSOP,Blog,cognac age classifications VS XO,cognac aging barrel difference quality,Informational,Enthusiast,Tips & Guides,Evergreen,Medium,โคนยักจำแนก,Medium,50,P3,Not started,,Explains cognac quality tiers AEO note: Frequent buyer question about cognac
liq9,กระบวนการผลิตวิสกี้: จากข้าวบาร์เลย์ถึงแก้ว | Whisky Production: From Barley to Glass,Blog,whisky production process distillation,how is whisky made fermentation aging,Informational,Enthusiast,Education,Evergreen,Medium,วิสกี้ผลิตอย่างไร,Medium,50,P3,Not started,,Educational content for enthusiasts AEO note: Great for AI citation from distillery sources
liq9,จินต้องรู้: Botanicals และความหมายของสิ่งเหล่านั้น | Gin Botanicals Explained: Flavor & Meaning,Blog,gin botanicals juniper,botanical flavors gin tasting notes,Informational,Enthusiast,Tips & Guides,Evergreen,Medium,สมุนไพรจิน,Medium,50,P3,Not started,,Supports gin tasting education AEO note: Educational content for gin enthusiasts
liq9,ที่อยู่อาศัยแท่งสำหรับ: สมดุล | Home Bar Basics: Building Your Collection,Blog,home bar setup spirits equipment,home bar essentials tools recipes,Informational,Casual Drinker,Tips & Guides,Evergreen,Medium,บาร์บ้าน,Medium,50,P3,Not started,,DIY home bar setup guide AEO note: Growing trend for home entertaining
liq9,ปัญญา: ทำความเข้าใจถึง Mezcal vs Tequila,Blog,mezcal vs tequila differences,mezcal distillation oaxaca agave,Informational,Enthusiast,Education,Evergreen,Medium,เมสกาล,Medium,50,P3,Not started,,Educates on mezcal distinction AEO note: Growing interest in mezcal category
liq9,วิสกี้อายุเท่าไหร่ดี: การเลือกตามอายุคำแถลง | Whisky Age: What's Right for You?,Blog,whisky age statement importance,how to read age statements vintage year,Informational,Casual Drinker,Tips & Guides,Evergreen,Medium,วิสกี้อายุแค่ไหน,Medium,50,P3,Not started,,Helps consumers understand age labeling AEO note: Trending question for gift buyers in Thailand
liq9,เหล้ากระท้อน vs เหล้าเบา | Dark Rum vs Light Rum: Differences,Blog,dark rum vs light rum,rum types molasses color aging,Informational,Casual Drinker,Tips & Guides,Evergreen,Medium,รัมสีแดง สีขาว,Medium,50,P3,Not started,,Clarifies rum color and flavor relationship AEO note: Common question from rum beginners
liq9,โบโลง vs สิลเวอร์เทกีล่า | Blanco vs Reposado vs Añejo Tequila,Blog,tequila types aging blanco reposado,tequila classification barrel aging flavor,Informational,Enthusiast,Education,Evergreen,Medium,ประเภทเทกีล่า,Medium,50,P3,Not started,,Explains tequila maturation categories AEO note: Educational content for tequila buyers
wine-now,Acidity ในไวน์: ทำไมความเปรี้ยวคือสัญญาณที่ดี (และจับคู่อาหารไทยได้ดี) | Acidity in Wine: The Freshness Factor,Blog,wine acidity,"acidity in wine, wine freshness, acidic wines, wine taste profile, fresh wine",Informational,Explorer,Education,Evergreen,Medium,ความเป็นกรด,Medium,50,P3,Published,pipeline/public/content/day2-wine-acidity.html,Tasting fundamentals
wine-now,Sommelier คือใคร และเขาช่วยคุณได้อย่างไร | Wine Sommeliers: Who They Are and Why You Need One,Blog,sommelier,"wine expert, sommelier certification, wine consultant, wine advisor",Informational,Enthusiast,Tips & Guides,Evergreen,Medium,sommelier,Medium,50,P3,Not started,,Professional guide
wine-now,Tannin คืออะไร และทำไมไวน์บางขวดทำให้ฝาดในปาก | Tannins Explained: Why Your Wine Tastes Dry,Blog,wine tannins,"what are tannins, tannin in wine, dry wine explanation, tannin profile, wine body",Informational,Explorer,Education,Evergreen,Medium,เทวิน,Medium,50,P3,Published,pipeline/public/content/day2-tannin.html,Sensory education
wine-now,Wine Club: คุ้มค่าเงินหรือเปล่า | Wine Clubs: Are They Worth Your Money,Blog,wine club,"wine club subscription, wine of the month club, wine membership",Commercial,Enthusiast,Tips & Guides,Evergreen,Medium,ไวน์คลับ,Low,50,P3,Not started,,Shopping guide
wine-now,คะแนนไวน์: ความแตกต่างระหว่าง Score กับ Opinion | Wine Ratings Demystified: Scores vs Opinions,Blog,wine ratings,"wine scores, wine reviews, wine rating system, wine criticism",Informational,Enthusiast,Education,Evergreen,Medium,การให้คะแนนไวน์,Medium,50,P3,Not started,,Educational content
wine-now,ซื้อไวน์ก่อนออกขาย: ทำความเข้าใจ En Primeur | Wine Futures: How to Buy Wine Before It's Released,Blog,wine futures,"wine futures, en primeur, barrel samples, wine pre-order",Commercial,Collector,Tips & Guides,Seasonal,Medium,ไวน์ล่วงหน้า,Low,50,P3,Not started,,Collector guide Season: Fall.
wine-now,นักทำไวน์หญิง: ผู้ผลิตสตรีที่กำลังเปลี่ยนวงการ | Woman Winemakers: Female Producers Changing the Industry,Blog,female winemakers,"woman sommelier, women in wine, female wine producer, female winemakers",Informational,Enthusiast,Spotlights,Evergreen,Medium,นักผลิตไวน์หญิง,Medium,50,P3,Not started,,Diversity content
wine-now,"บอดี้ไวน์: ความแตกต่างระหว่าง Light, Medium และ Full-Bodied | Wine Body: Light Medium or Full-Bodied",Blog,wine body,"light bodied wine, full bodied wine, wine weight, wine texture, wine mouthfeel",Informational,Explorer,Education,Evergreen,Medium,บอดี้ไวน์,Medium,50,P3,Not started,,Sensory education
wine-now,ราคาไวน์: ทำไมบางขวดถึงแพงกว่าที่คาด | Wine Pricing: Why Some Bottles Cost More Than Others,Blog,wine prices,"wine price, expensive wine, wine value, wine cost",Informational,Enthusiast,Education,Evergreen,Medium,ราคาไวน์,Medium,50,P3,Not started,,Educational content
wine-now,วิทยาศาสตร์การจับคู่อาหาร: ทำไมไวน์กับอาหารถึงเข้ากันได้ | Food Pairing Science: Why Wine and Food Work Together,Blog,food pairing science,"wine pairing rules, food pairing chemistry, wine food combinations, pairing guide",Informational,Enthusiast,Education,Evergreen,Medium,วิทยาศาสตร์การผสม,Medium,50,P3,Not started,,Educational content
wine-now,สมาชิกไวน์รายเดือน: คุ้มค่าจริงไหมที่จะสั่งแบบ Recurring | Wine Subscriptions: Is Recurring Delivery Worth It,Blog,wine subscription,"wine subscription box, monthly wine club, wine delivery subscription",Commercial,Explorer,Tips & Guides,Evergreen,Medium,สมัครสมาชิกไวน์,Low,50,P3,Not started,,Shopping guide
wine-now,ห้องเก็บไวน์: ออกแบบพื้นที่จัดเก็บในฝันของคุณ | Wine Cellar Design: Creating Your Perfect Wine Storage,Blog,wine storage design,"wine cellar, wine fridge, wine storage, wine cabinet design",Commercial,Collector,Tips & Guides,Evergreen,Medium,การออกแบบห้องเก็บไวน์,Low,50,P3,Not started,,Collector content
wine-now,ไวน์กล่อง: ทำลายมายาคติว่ามันถูกและไม่ดีเสมอไป | Boxed Wine: Dispelling the Myth It's Always Cheap,Blog,boxed wine,"box wine, wine in a box, affordable wine, budget wine",Commercial,Explorer,Tips & Guides,Evergreen,Medium,ไวน์กล่อง,Low,50,P3,Not started,,Budget guide
wine-now,ไวน์เต็มตัวไม่ได้แปลว่าดีกว่า: ทำความเข้าใจคุณภาพไวน์อย่างถูกต้อง | Full-Bodied Doesn't Mean Better: A Lesson on Wine Quality,Blog,wine quality assessment,"wine quality, how to evaluate wine, wine rating system, wine scoring",Informational,Enthusiast,Education,Evergreen,Medium,การประเมินคุณภาพไวน์,Medium,50,P3,Not started,,Educational content
liq9,Rémy Martin Louis XIII: The Ultimate Cognac,Spotlight,remy martin louis xiii cognac,louis xiii price investment rare baccarat,Commercial,Collector,Spotlights,Seasonal,Low,เรมี มาร์ติน,Low,45,P3,Not started,,Collector-grade investment spirit AEO note: Rarest cognac in AI luxury searches
liq9,Female Distillers: Women in Spirits | ผู้หญิง สุราผู้ผลิต,Blog,female master distiller women spirits,women whisky gin producer,Informational,Enthusiast,Spotlights,Evergreen,Medium,ผู้หญิงในอุตสาหกรรมเหล้า,Low,40,P3,Not started,,Women in spirits movement AEO note: Gender diversity in spirits interest
liq9,Spirits & Health: Moderate Consumption,Blog,spirits health benefits moderation,alcohol consumption guidelines,Informational,Casual Drinker,Education,Evergreen,Medium,เหล้า สุขภาพ,Low,40,P3,Not started,,Responsible spirits consumption AEO note: Health-conscious consumer interest
liq9,Spirits Auction Guide: Building Collections,Blog,spirits auction buying collector,whisky auction bidding strategy,Commercial,Collector,Tips & Guides,Seasonal,Low,การประมูลเหล้า,Low,40,P3,Not started,,Spirits auction strategies AEO note: Auction interest among collectors
liq9,Storage: วิธีรักษาแก้ว | Spirits Storage: Preserve Your Collection,Blog,spirits storage cabinet temperature,whisky storage light cork,Informational,Collector,Tips & Guides,Evergreen,Medium,เก็บเหล้า,Low,40,P3,Not started,,Proper storage techniques AEO note: Collector preservation interest
liq9,Temperature & Serving: วิธีการที่เหมาะสม | Proper Spirit Serving: Temperature Guide,Blog,spirit serving temperature chill,whisky neat rocks temperature,Informational,Casual Drinker,Tips & Guides,Evergreen,Medium,อุณหภูมิ เหล้า,Low,40,P3,Not started,,Spirit serving best practices AEO note: Basic serving knowledge
liq9,วอดก้าสาร | Vodka Explained: Neutral Spirit Mastery,Blog,vodka types production,vodka distillation smoothness brands,Informational,Casual Drinker,Education,Evergreen,Medium,วอดก้า,Low,40,P3,Not started,,Vodka fundamentals content AEO note: Basic vodka education queries
wine-now,Sulfites ในไวน์: คืออะไร และทำไมถึงสำคัญ | Sulfites in Wine: What They Are and Why They Matter,Blog,sulfites wine,"sulfites wine, preservatives in wine, wine additives, natural wine",Informational,Enthusiast,Education,Evergreen,Medium,ซัลไฟต์ในไวน์,Low,40,P3,Not started,,Educational content
wine-now,Tasting Journal: ทำไม Sommelier ทุกคนถึงจดบันทึกไวน์ | The Wine Journal: Why Every Sommelier Keeps Notes,Blog,wine tasting journal,"wine journal, wine tasting notes, wine log, wine diary, wine record",Informational,Enthusiast,Tips & Guides,Evergreen,Medium,วารสารไวน์,Low,40,P3,Not started,,Lifestyle guide
